-------------------- starting training ---------------------
finishing episode #516; episode reward: 0.8185915481519941
finishing episode #517; episode reward: 0.7176582462531306
finishing episode #518; episode reward: 0.7332870214813679
finishing episode #519; episode reward: 0.8241156078459473
finishing episode #520; episode reward: 0.7152451268649047
finishing episode #521; episode reward: 0.7663085104407117
finishing episode #522; episode reward: 0.797021922105063
finishing episode #523; episode reward: 0.8290839220734902
finishing episode #524; episode reward: 0.7740952317778989
finishing episode #525; episode reward: 0.8102609888051154
finishing episode #526; episode reward: 0.7729973976882906
finishing episode #527; episode reward: 0.7626870741814206
finishing episode #528; episode reward: 0.8165525085923719
finishing episode #529; episode reward: 0.7965519465031775
finishing episode #530; episode reward: 0.7516001770431714
finishing episode #531; episode reward: 0.8256247651148048
finishing episode #532; episode reward: 0.8235937860055329
finishing episode #533; episode reward: 0.7730958197790289
finishing episode #534; episode reward: 0.8488912773604266
finishing episode #535; episode reward: 0.7738694546222095
finishing episode #536; episode reward: 0.8096990197695326
finishing episode #537; episode reward: 0.8602254382295529
finishing episode #538; episode reward: 0.9463356944659498
finishing episode #539; episode reward: 0.8095745978434453
finishing episode #540; episode reward: 0.8325070548792586
finishing episode #541; episode reward: 0.7628444872454926
finishing episode #542; episode reward: 0.8214139671476411
finishing episode #543; episode reward: 0.8007558488565472
finishing episode #544; episode reward: 0.8438723826151214
finishing episode #545; episode reward: 0.7954847623880009
finishing episode #546; episode reward: 0.791006131609217
finishing episode #547; episode reward: 0.7305985533800121
finishing episode #548; episode reward: 0.7270581040615387
finishing episode #549; episode reward: 0.7961626604050595
finishing episode #550; episode reward: 0.7988819863037355
finishing episode #551; episode reward: 0.750464796519729
finishing episode #552; episode reward: 0.8520503412514698
finishing episode #553; episode reward: 0.8506849585685342
finishing episode #554; episode reward: 0.8872264643281476
finishing episode #555; episode reward: 0.8705596459384378
finishing episode #556; episode reward: 0.8551432794714828
finishing episode #557; episode reward: 0.7784424753972993
finishing episode #558; episode reward: 0.7984281977198585
finishing episode #559; episode reward: 0.863166057112372
finishing episode #560; episode reward: 0.8054766414427691
finishing episode #561; episode reward: 0.7753964045651152
finishing episode #562; episode reward: 0.7759434977758927
finishing episode #563; episode reward: 0.8275208296584677
finishing episode #564; episode reward: 0.7203695450876363
finishing episode #565; episode reward: 0.8481168666242939
finishing episode #566; episode reward: 0.8181969851925189
finishing episode #567; episode reward: 0.8713028474179474
finishing episode #568; episode reward: 0.8747509870445178
finishing episode #569; episode reward: 0.8845697134183489
finishing episode #570; episode reward: 0.8865152479061298
finishing episode #571; episode reward: 0.9057042931902524
finishing episode #572; episode reward: 0.7668770092612434
finishing episode #573; episode reward: 0.8337826853931911
finishing episode #574; episode reward: 0.8905195787802197
finishing episode #575; episode reward: 0.8559946168805747
finishing episode #576; episode reward: 0.7825203943794128
finishing episode #577; episode reward: 0.7944782147523064
finishing episode #578; episode reward: 0.8564486119998378
finishing episode #579; episode reward: 0.7962662855413998
finishing episode #580; episode reward: 0.8146938047613788
finishing episode #581; episode reward: 0.6868353840652358
finishing episode #582; episode reward: 0.9034856891871302
finishing episode #583; episode reward: 0.8104806588197948
finishing episode #584; episode reward: 0.7384846087621155
finishing episode #585; episode reward: 0.8072585641409743
finishing episode #586; episode reward: 0.7639042067444337
finishing episode #587; episode reward: 0.8295201464603571
finishing episode #588; episode reward: 0.8121667757424691
finishing episode #589; episode reward: 0.7826500958089623
finishing episode #590; episode reward: 0.8095008843325547
finishing episode #591; episode reward: 0.8352531717247155
finishing episode #592; episode reward: 0.8276681922367445
finishing episode #593; episode reward: 0.8442940359305292
finishing episode #594; episode reward: 0.892294594652656
